,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2015-12-31,,2.0,1.1,1390.0,put,2016-01-21,4350,AS51,5295.859,2015-12-31,0.3405917770048317,-0.007533832003441796,4.804179970262834e-05,0.26402964046621585,-0.21706357867040052,-0.023587954860773187,AS51 01-21-16 P4350 Index,2015-12-16,-15
2016-01-04,,1.0,0.4,1390.0,put,2016-01-21,4350,AS51,5270.475,2016-01-04,0.33098190068902267,-0.0034086301996540135,2.725588319759664e-05,0.11671322705856639,-0.11495190312530583,-0.008553608336325078,AS51 01-21-16 P4350 Index,2015-12-16,-19
2016-01-05,,1.0,0.2,1390.0,put,2016-01-21,4350,AS51,5184.434,2016-01-05,0.29402071664392365,-0.0021015686155509607,2.0775617301647113e-05,0.07197168772502352,-0.06693994806837837,-0.004863756179197959,AS51 01-21-16 P4350 Index,2015-12-16,-20
2016-01-06,,1.0,0.4,1390.0,put,2016-01-21,4350,AS51,5123.134,2016-01-06,0.3057691677980527,-0.003994407108397851,3.7252362809589367e-05,0.12286193208093885,-0.1267472570667196,-0.008574198438441658,AS51 01-21-16 P4350 Index,2015-12-16,-21
2016-01-07,2.0,4.0,2.6,1454.0,put,2016-01-21,4350,AS51,5010.34,2016-01-07,0.3544842271330101,-0.019894619906800318,0.00013853712761415768,0.47286009145405516,-0.6060334042913297,-0.039230228456266586,AS51 01-21-16 P4350 Index,2015-12-16,-22
2016-01-08,1.0,5.0,2.6,1424.0,put,2016-01-21,4350,AS51,4990.839,2016-01-08,0.3594814162138705,-0.020385886601388823,0.00014529952885613555,0.4633810381109671,-0.6482211629479413,-0.037163145553349465,AS51 01-21-16 P4350 Index,2015-12-16,-23
2016-01-11,1.0,3.0,2.0,1474.0,put,2016-01-21,4350,AS51,4932.237,2016-01-11,0.3655285793370963,-0.01810694609617297,0.000149068651825583,0.3631639000631924,-0.6703666979297886,-0.025015821778780777,AS51 01-21-16 P4350 Index,2015-12-16,-26
2016-01-12,,2.0,1.6,1457.0,put,2016-01-21,4350,AS51,4925.1320000000005,2016-01-12,0.36938483501284153,-0.015441487093160629,0.00013588830569357703,0.3002247830401962,-0.621755862324433,-0.019146911229890734,AS51 01-21-16 P4350 Index,2015-12-16,-27
2016-01-13,,2.0,0.3,1457.0,put,2016-01-21,4350,AS51,4987.44,2016-01-13,0.3472467387225418,-0.0037442115344005046,4.3544576918264404e-05,0.08243748646069562,-0.1803059909446244,-0.004158691589069687,AS51 01-21-16 P4350 Index,2015-12-16,-28
2016-01-14,1.0,3.0,0.7,1457.0,put,2016-01-21,4350,AS51,4909.383,2016-01-14,0.3670746518213818,-0.008307956826468751,9.078546688410616e-05,0.1540386597516895,-0.4069229085332324,-0.007956399837265685,AS51 01-21-16 P4350 Index,2015-12-16,-29
2016-01-15,,3.0,0.6,1457.0,put,2016-01-21,4350,AS51,4892.8009999999995,2016-01-15,0.37975455262159036,-0.007540526722838113,8.733711797731284e-05,0.13051948051157367,-0.41579566457886946,-0.006163446031237641,AS51 01-21-16 P4350 Index,2015-12-16,-30
2016-01-18,,4.0,0.2,1457.0,put,2016-01-21,4350,AS51,4858.702,2016-01-18,0.45108894182215586,-0.0032702077671461337,4.9760626124257365e-05,0.04355288552019672,-0.32862460880512945,-0.001322380686464256,AS51 01-21-16 P4350 Index,2015-12-16,-33
2016-01-19,,2.0,,1457.0,put,2016-01-21,4350,AS51,4903.069,2016-01-19,,,,,,,AS51 01-21-16 P4350 Index,2015-12-16,-34
2016-01-20,,2.0,,1457.0,put,2016-01-21,4350,AS51,4841.526,2016-01-20,,,,,,,AS51 01-21-16 P4350 Index,2015-12-16,-35
2016-01-21,,2.0,,0.0,put,2016-01-21,4350,AS51,4864.004,2016-01-21,,,,,,,AS51 01-21-16 P4350 Index,2015-12-16,-36
2015-10-19,911.0,976.0,957.9,0.0,put,2016-01-21,6200,AS51,5269.709,2015-10-19,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,58
2015-10-20,930.0,995.0,982.1,0.0,put,2016-01-21,6200,AS51,5235.5740000000005,2015-10-20,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,57
